value,   feasible,   frequency, time, iteration
30040.0,False,1.0,0.9187262058258057,0
41166.0,False,1.0,0.9187262058258057,0
0.0,False,1.0,0.9187262058258057,0
12266.0,False,2.0,0.9187262058258057,0
1722.0,False,1.0,0.9187262058258057,0
0.0,False,3.0,0.9187262058258057,0
984.0,False,1.0,0.9187262058258057,0
21948.0,False,1.0,0.9187262058258057,0
21702.0,False,1.0,0.9187262058258057,0
0.0,False,1.0,0.9187262058258057,0
0.0,False,1.0,0.9187262058258057,0
40692.0,False,1.0,0.9187262058258057,0
10640.0,False,1.0,0.9187262058258057,0
26076.0,False,1.0,0.9187262058258057,0
30368.0,False,1.0,0.9187262058258057,0
40208.0,False,1.0,0.9187262058258057,0
30950.0,False,1.0,0.9187262058258057,0
40788.0,False,1.0,0.9187262058258057,0
252.0,False,4.0,1.61128830909729,1
1140.0,False,6.0,1.61128830909729,1
7790.0,False,3.0,1.61128830909729,1
1722.0,False,2.0,1.61128830909729,1
15698.0,False,8.0,1.61128830909729,1
2604.0,False,5.0,1.61128830909729,1
61594.0,False,1.0,1.61128830909729,1
0.0,False,2.0,1.61128830909729,1
2376.0,False,3.0,1.61128830909729,1
252.0,False,7.0,1.61128830909729,1
20006.0,False,5.0,1.61128830909729,1
21546.0,False,1.0,1.61128830909729,1
39906.0,False,11.0,1.61128830909729,1
27128.0,False,3.0,1.61128830909729,1
37200.0,False,4.0,1.61128830909729,1
31024.0,False,1.0,1.61128830909729,1
18430.0,False,5.0,1.61128830909729,1
1392.0,False,6.0,1.61128830909729,1
0.0,False,1.0,1.61128830909729,1
8930.0,False,1.0,1.61128830909729,1
17616.0,True,4.0,1.61128830909729,1
17958.0,False,6.0,1.61128830909729,1
